Какое из утверждений наиболее близко описывает ваше отношение к участию в научных конференциях?,Что вас могло бы мотивировать принять участие в научной конференции?,"Как вы считаете, насколько важно для первокурсников участвовать в научных конференциях?",Какие факторы могут вас остановить от участия в научной конференции?,Вам было бы интересно участвовать в научной конференции за границей?Вам было бы интересно участвовать в научной конференции за границей?,"Если бы вы участвовали в научной конференции, вы бы хотели выступать с докладом или просто слушать?",Вы предпочли бы участвовать в конференциях в области вашей специализации или в других областях?,"Вы считаете, что участие в научных конференциях может помочь вам в учебе?",Как часто вы участвовали в школьных конференциях и внеклассных мероприятиях?,Чем вы занимаетесь в свободное время?,Занимаетесь ли вы самообучением ?,По какой причине вы поступили на данную специальность?,Как вы относитесь к публичному выступлению?,Как вы относитесь к возможности общения и сотрудничества с другими студентами в рамках академических мероприятий?
"[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
"[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0]"
"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
